# Output of 'ps ax -oppid,pid,command' on darwin_19.2.0
# Sat Jan  4 18:33:46 2020
 PPID   PID COMMAND
    1   364 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    1   365 /usr/libexec/runningboardd
    1   380 /usr/libexec/trustd --agent
    1   421 /usr/sbin/distnoted agent
    1   422 /usr/libexec/secd
    1   443 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
    1   444 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDeviceKB 0x100000460
    1   445 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice1 0x100000464
    1   446 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice1 0x100000466
    1   448 /System/Library/Frameworks/PreferencePanes.framework/Versions/A/XPCServices/cacheAssistant.xpc/Contents/MacOS/cacheAssistant
    1   449 /usr/libexec/secinitd
    1   451 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x10000046e
    1   452 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x100000470
    1   453 /usr/libexec/firmwarecheckers/ethcheck/ethcheck --integrity-check-daemon
    1   455 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x1000004ac
    1   457 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x1000004cb
    1   458 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
    1   459 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    1   460 /usr/libexec/thermald
    1   466 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
    1   469 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    1   473 /usr/libexec/nesessionmanager
    1   476 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   478 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
    1   479 /usr/libexec/colorsync.displayservices
    1   480 /usr/libexec/colorsyncd
    1   481 /System/Library/CoreServices/appleeventsd --server
    1   482 /usr/libexec/bootinstalld
    1   487 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    1   488 /usr/sbin/distnoted agent
    1   489 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   490 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    1   494 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    1   495 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    1   496 /usr/libexec/UserEventAgent (Aqua)
    1   500 /System/Library/CoreServices/backgroundtaskmanagementagent
    1   501 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent launchd -s
    1   502 /usr/libexec/pboard
    1   503 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
    1   505 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    1   506 /System/Library/CoreServices/ReportCrash daemon
    1   510 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
    1   511 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
    1   512 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
    1   513 /System/Library/CoreServices/sharedfilelistd
    1   514 /System/Library/CoreServices/talagent
    1   517 /usr/sbin/usernoted
    1   519 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
    1   520 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
    1   521 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
    1   522 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    1   523 /usr/libexec/nsurlsessiond
    1   524 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
    1   525 /usr/libexec/seld
    1   527 /usr/libexec/rapportd
    1   528 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
    1   529 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
    1   530 /usr/libexec/secinitd
    1   531 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
    1   532 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
    1   533 /usr/libexec/networkserviceproxy
    1   534 /usr/libexec/knowledge-agent
    1   535 /System/Library/CoreServices/APFSUserAgent
    1   536 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
    1   537 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
    1   538 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
    1   540 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
    1   541 /System/Library/Image Capture/Support/icdd
    1   543 /usr/libexec/pkd
    1   545 /usr/sbin/WirelessRadioManagerd
    1   546 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
    1   548 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
    1   549 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
    1   551 /System/Library/CoreServices/mapspushd
    1   552 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
    1   553 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
    1   554 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
    1   555 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
    1   556 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
    1   557 /usr/libexec/nsurlstoraged
    1   558 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
    1   559 /usr/libexec/sharingd
    1   560 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
    1   561 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
    1   563 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
    1   564 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
    1   565 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
    1   566 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
    1   567 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
    1   568 /System/Library/PrivateFrameworks/CoreADI.framework/adid
    1   569 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
    1   570 /usr/libexec/neagent
    1   571 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
    1   572 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
    1   573 /usr/sbin/systemsoundserverd
    1   574 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
    1   575 /usr/libexec/AssetCache/AssetCache
    1   576 /System/Library/CoreServices/iconservicesagent
    1   579 /usr/libexec/dmd
    1   580 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
    1   581 /usr/libexec/swcd
    1   582 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
    1   593 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
    1   594 /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
    1   595 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
    1   596 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
    1   597 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
    1   598 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
    1   599 /usr/libexec/nsurlstoraged --privileged
    1   601 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   602 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   603 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
    1   604 /System/Library/CoreServices/pbs
  171   616 /usr/sbin/httpd -D FOREGROUND
    1   617 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
    1   618 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.ClientFlow.ClientScripter.xpc/Contents/MacOS/com.apple.siri.ClientFlow.ClientScripter
    1   619 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
    1   620 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
    1   621 /System/Library/PrivateFrameworks/StreamingZip.framework/Versions/A/XPCServices/com.apple.StreamingUnzipService.xpc/Contents/MacOS/com.apple.StreamingUnzipService
    1   622 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1   624 /usr/libexec/nfcd
    1   625 /System/Library/PrivateFrameworks/ClassKit.framework/Versions/A/progressd
    1   630 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
    1   631 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
    1   632 /usr/libexec/adprivacyd
    1   640 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
    1   641 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
    1   642 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
    1   643 /usr/libexec/replayd
    1   645 /System/Library/CoreServices/diagnostics_agent
    1   646 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
    1   647 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
    1   648 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
    1   649 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
    1   650 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
    1   655 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
    1   656 /System/Library/CoreServices/CrashReporterSupportHelper server-init
    1   658 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
    1   659 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
    1   677 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
    1   678 /usr/libexec/findmydeviced
    1   679 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
    1   681 /System/Library/CoreServices/ScopedBookmarkAgent
    1   682 /usr/sbin/filecoordinationd
    1   684 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
    1   686 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
    1   688 /System/Library/CoreServices/SubmitDiagInfo server-init
    1   689 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fpsd
    1   691 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
    1   692 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    1   693 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
    1   695 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
    1   696 cloudphotod
    1   701 /usr/sbin/distnoted agent
    1   705 /usr/libexec/sysmond
  145   707 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
    1   708 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
    1   709 /System/Library/PrivateFrameworks/WeatherKit.framework/Versions/A/XPCServices/com.apple.WeatherKitService.xpc/Contents/MacOS/com.apple.WeatherKitService
    1   710 /System/Library/CoreServices/LocationMenu.app/Contents/MacOS/LocationMenu
    1   713 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
    1   714 /usr/libexec/fmfd
    1   715 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
    1   716 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
    1   719 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
    1   721 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
    1   722 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    1   723 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
    1   724 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
    1   741 /usr/libexec/trustd --agent
    1   742 /usr/libexec/searchpartyuseragent
    1   763 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
    1   764 /usr/sbin/distnoted agent
    1  1085 /System/Library/PrivateFrameworks/InstallerDiagnostics.framework/Versions/A/Resources/installerdiagd
    1  1206 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
    1  1261 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
    1  1262 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
    1  1340 /Applications/Dropbox.app/Contents/PlugIns/garcon.appex/Contents/MacOS/garcon
    1  1341 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
    1  1342 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    1  1343 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1  1344 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1  1345 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
    1  1346 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    1  1347 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent --launchd
    1  1368 /usr/sbin/spindump
    1  1369 /usr/libexec/spindump_agent
    1  1393 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
    1  1408 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
    1  1457 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
    1  1458 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
    1  1459 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
    1  1605 /System/Library/CoreServices/ReportCrash agent
    1  1637 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1  1638 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
    1  1639 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
    1  1640 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
    1  1659 /usr/libexec/dprivacyd
    1  1711 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
    1  1712 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
    1  1726 /System/Library/PrivateFrameworks/MediaConversionService.framework/Versions/A/XPCServices/com.apple.photos.ImageConversionService.xpc/Contents/MacOS/com.apple.photos.ImageConversionService
    1  1740 /usr/libexec/siriknowledged
    1  1742 /System/Library/PrivateFrameworks/FMClient.framework/Versions/A/XPCServices/FMIPClientXPCService.xpc/Contents/MacOS/FMIPClientXPCService
    1  1744 /Applications/Safari.app/Contents/MacOS/Safari -psn_0_184365
    1  1745 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal -psn_0_188462
    1  1746 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
    1  1747 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
    1  1748 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
    1  1751 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
    1  1756 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
    1  1767 /Applications/Dropbox.app/Contents/PlugIns/garcon.appex/Contents/MacOS/garcon
    1  1768 /Applications/OneDrive.app/Contents/PlugIns/FinderSync.appex/Contents/MacOS/FinderSync
    1  1770 /usr/libexec/studentd
    1  1773 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
    1  1778 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1  1779 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
    1  1780 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
    1  1782 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
    1  1787 /Applications/SteelSeries Engine 3/SteelSeries Engine 3.app/Contents/MacOS/SteelSeries Engine 3 autoLaunch
    1  1788 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
    1  1792 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
    1  1793 2BUA8C4S2C.com.agilebits.onepassword7-helper
    1  1794 /Applications/GlobalProtect.app/Contents/Resources/PanGPS
    1  1796 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
    1  1798 /Applications/GlobalProtect.app/Contents/MacOS/GlobalProtect
    1  1803 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
    1  1805 /Library/Application Support/Adobe/AdobeGCClient/AGMService -mode=logon
    1  1806 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
    1  1808 /System/Library/CoreServices/cloudpaird
    1  1811 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
    1  1812 /Applications/Flux.app/Contents/MacOS/Flux
    1  1813 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
    1  1816 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.xpc/Contents/MacOS/com.apple.dock.external.extra
    1  1817 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
    1  1818 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariCloudHistoryPushAgent
    1  1824 /Applications/OneDrive.app/Contents/MacOS/OneDrive
    1  1827 /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/../libs/Adobe_CCXProcess.node /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/../js/main.js
